city,listing_type,total_listings,ttm_revenue_mean,ttm_revenue_median,ttm_revenue_sum,ttm_occupancy_mean,bedrooms_mean,amenity_count_mean
Almuñécar,Entire condo,13,17052.53846153846,14573.0,221683.0,0.35784615384615387,2.3846153846153846,48.30769230769231
Almuñécar,Entire cottage,3,12393.333333333334,7173.0,37180.0,0.11233333333333334,3.3333333333333335,52.0
Almuñécar,Entire guest suite,2,6218.0,6218.0,12436.0,0.1055,2.0,32.0
Almuñécar,Entire guesthouse,2,14840.0,14840.0,29680.0,0.2615,2.0,62.5
Almuñécar,Entire home,27,37500.51851851852,27876.0,1012514.0,0.3407037037037037,3.5185185185185186,50.44444444444444
Almuñécar,Entire loft,2,2902.0,2902.0,5804.0,0.08900000000000001,1.0,34.0
Almuñécar,Entire rental unit,74,14800.297297297297,12237.0,1095222.0,0.37752702702702706,1.7702702702702702,41.648648648648646
Almuñécar,Entire serviced apartment,2,12174.5,12174.5,24349.0,0.2715,0.5,15.5
Almuñécar,Entire townhouse,14,17096.714285714286,14334.5,239354.0,0.27964285714285714,2.857142857142857,52.285714285714285
Almuñécar,Entire villa,17,22955.823529411766,17269.0,390249.0,0.20305882352941176,3.8823529411764706,37.23529411764706
Almuñécar,Private room in chalet,6,5199.166666666667,4988.0,31195.0,0.19716666666666663,0.0,29.333333333333332
Almuñécar,Private room in home,1,2383.0,2383.0,2383.0,0.118,0.0,23.0
Almuñécar,Private room in rental unit,2,6245.5,6245.5,12491.0,0.28800000000000003,0.0,38.5
Altea,Entire bungalow,1,27942.0,27942.0,27942.0,0.288,4.0,47.0
Altea,Entire chalet,6,26991.0,29073.5,161946.0,0.27316666666666667,3.6666666666666665,49.666666666666664
Altea,Entire condo,16,13782.75,11496.5,220524.0,0.2915625,1.9375,39.0625
Altea,Entire guesthouse,3,19989.0,2477.0,59967.0,0.2193333333333333,2.0,61.0
Altea,Entire home,27,30919.25925925926,28820.0,834820.0,0.33785185185185185,3.259259259259259,47.0
Altea,Entire loft,3,32084.333333333332,32368.0,96253.0,0.5643333333333334,2.0,38.666666666666664
Altea,Entire place,1,48666.0,48666.0,48666.0,0.362,3.0,55.0
Altea,Entire rental unit,82,16594.451219512193,14427.0,1360745.0,0.2970853658536585,2.024390243902439,40.63414634146341
Altea,Entire townhouse,9,27232.444444444445,31239.0,245092.0,0.35488888888888886,2.3333333333333335,50.888888888888886
Altea,Entire vacation home,1,21966.0,21966.0,21966.0,0.405,2.0,48.0
Altea,Entire villa,16,28078.3125,18053.0,449253.0,0.18837500000000001,3.8125,43.625
Altea,Private room in home,1,6805.0,6805.0,6805.0,0.37,0.0,21.0
Altea,Private room in rental unit,3,5876.666666666667,7982.0,17630.0,0.22633333333333336,0.6666666666666666,34.666666666666664
Amsterdam,Boat,8,97100.5,83781.0,776804.0,0.41362499999999996,3.75,42.75
Amsterdam,Entire condo,26,28074.80769230769,24495.0,729945.0,0.25065384615384617,1.4230769230769231,42.80769230769231
Amsterdam,Entire guest suite,2,187191.0,187191.0,374382.0,0.825,2.0,52.5
Amsterdam,Entire guesthouse,2,62978.5,62978.5,125957.0,0.8095,1.0,34.0
Amsterdam,Entire home,22,31345.863636363636,26937.5,689609.0,0.24704545454545454,3.3636363636363638,35.68181818181818
Amsterdam,Entire loft,13,67171.15384615384,31648.0,873225.0,0.2976923076923077,2.4615384615384617,42.46153846153846
Amsterdam,Entire rental unit,89,39611.6404494382,27839.0,3525436.0,0.31433707865168536,1.7415730337078652,34.69662921348315
Amsterdam,Entire townhouse,6,51018.5,50911.0,306111.0,0.3666666666666667,2.6666666666666665,49.5
